Form ID,Lobbyist/Registrant,Organization/Firm,Employer,Reporting Period,Lobbyist Compensation,Staff Expenses,Office Expenses,Research Expenses,Communications,Witness Fees or Expenses,Other Operating Expenses,Sponsored Event Expenses,Tickets to Events Expenses,Meal & Bev at Meetings,Meal & Bev for Speaking,Meal & Bev for Officials,Gift expenses,Total Expenses
A020624,"Adams, Michael ","Sasscer, Clagett & Bucher","Walmart Stores, Inc.",05/01/22-10/31/22,"$15,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$15,000.00"
A020307,"Adams, Michael ","Sasscer, Clagett & Bucher","Juul Labs, Inc.",05/01/22-10/31/22,"$9,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$9,000.00"
A020922,"Adams, Michael ","Sasscer, Clagett & Bucher",Associated Builders & Contractors,03/14/22-04/30/22,"$6,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$6,000.00"
A020623,"Adams, Michael ","Sasscer, Clagett & Bucher","Walmart Stores, Inc.",02/09/22-04/30/22,"$13,750.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$13,750.00"
A020923,"Adams, Michael ","Sasscer, Clagett & Bucher",Associated Builders & Contractors,05/01/22-10/31/22,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
A020306,"Adams, Michael ","Sasscer, Clagett & Bucher","Juul Labs, Inc.",01/21/22-04/30/22,"$6,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$6,000.00"
A021133,"Alexandeer, Jamie",Freestate Justice,FreeState Justice,05/18/22-10/31/22,"$18,307.50",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$18,307.50"
A020082,"Ali, Ragina",AAA Mid-Atlantic,AAA Club Alliance/AAA Mid-Atlantic,05/01/22-10/31/22,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
A020081,"Ali, Ragina",AAA Mid-Atlantic,AAA Club Alliance/AAA Mid-Atlantic,01/10/22-04/30/22,"$1,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$1,000.00"
A013991,"Allen, Amanda",Transurban,Transurban,11/01/21-04/30/22,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
A013992,"Allen, Amanda",Transurban,Transurban,05/01/22-10/31/22,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
A015448,"Altema, Irnande",Maryland Independent College & University Assocation,Maryland Independent College and University Association,11/01/21-04/30/22,"$36,875.02",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$36,875.02"
A015449,"Altema, Irnande",Maryland Independent College & University Assocation,Maryland Independent College and University Association,05/01/22-10/31/22,"$8,625.01",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$8,625.01"
A019564,"Amanuel, Yanet",ACLU of Maryland,ACLU of Maryland,05/01/22-10/31/22,"$30,537.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$30,537.00"
A019563,"Amanuel, Yanet",ACLU of Maryland,ACLU of Maryland,11/01/21-04/30/22,"$66,068.43",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$66,068.43"
A015095,"American Civil Liberties Union, Inc.","Dougherty, Terence","American Civil Liberties Union, Inc.",11/01/21-01/30/22,$0.00,"$21,941.00","$9,520.00","$35,000.00","$1,268.95",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$67,729.95"
A019491,"Amster, Molly",Jews United for Justice,Jews United for Justice,12/06/21-04/30/22,"$13,630.05","$3,735.92","$4,720.00",$0.00,"$1,712.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$218.32,"$24,016.29"
A019492,"Amster, Molly",Jews United for Justice,Jews United for Justice,05/01/22-10/31/22,$259.26,$219.39,"$4,720.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$5,198.65"
A020493,"Anas, George",Berkshire Hathaway Energy GT&S,"Berkshire Hathaway Energy GT&S, LLC",02/02/22-04/30/22,"$1,177.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$1,177.00"
A020494,"Anas, George",Berkshire Hathaway Energy GT&S,"Berkshire Hathaway Energy GT&S, LLC",05/01/22-10/31/22,"$1,229.00",$0.00,$0.00,$0.00,"$1,949.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$3,178.00"
A015394,"Anderson, Stephanie","O'Malley, Miles, Nylen & Gilmore, P.A.",Energy Action Fund,11/01/21-04/30/22,"$3,609.50",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$3,609.50"
A015414,"Anderson, Stephanie","O'Malley, Miles, Nylen & Gilmore, P.A.",1199 SEIU,11/01/21-04/30/22,"$10,480.00",$0.00,$100.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$10,580.00"
A015355,"Anderson, Stephanie","O'Malley, Miles, Nylen & Gilmore, P.A.","Maryland Citizens' Health Initiative, Inc.",05/01/22-10/31/22,"$3,900.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$3,900.00"
A015429,"Anderson, Stephanie","O'Malley, Miles, Nylen & Gilmore, P.A.","Horizon Foundation of Howard County, Inc., The",05/01/22-10/31/22,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
A015371,"Anderson, Stephanie","O'Malley, Miles, Nylen & Gilmore, P.A.",City of College Park,05/01/22-10/31/22,"$5,688.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$5,688.00"
A015354,"Anderson, Stephanie","O'Malley, Miles, Nylen & Gilmore, P.A.","Maryland Citizens' Health Initiative, Inc.",11/01/21-04/30/22,"$4,928.00",$0.00,$100.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$5,028.00"
A015368,"Anderson, Stephanie","O'Malley, Miles, Nylen & Gilmore, P.A.",Maryland Workforce Alliance,11/01/21-04/30/22,$0.00,$0.00,$100.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$100.00
A015392,"Anderson, Stephanie","O'Malley, Miles, Nylen & Gilmore, P.A.",Hopewell Fund,11/01/21-04/30/22,"$11,040.00",$0.00,$100.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$11,140.00"
A015364,"Anderson, Stephanie","O'Malley, Miles, Nylen & Gilmore, P.A.",Maryland RISE,11/01/21-04/30/22,"$6,335.00",$0.00,$100.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$6,435.00"
A015359,"Anderson, Stephanie","O'Malley, Miles, Nylen & Gilmore, P.A.","Arc of Prince George's County, The",05/01/22-10/31/22,$162.50,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$162.50
A015369,"Anderson, Stephanie","O'Malley, Miles, Nylen & Gilmore, P.A.",Maryland Workforce Alliance,05/01/22-10/31/22,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
A015357,"Anderson, Stephanie","O'Malley, Miles, Nylen & Gilmore, P.A.",Maximus,05/01/22-10/31/22,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
A020829,"Anderson, Stephanie","O'Malley, Miles, Nylen & Gilmore, P.A.",Arcimoto,05/01/22-10/31/22,"$1,100.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$1,100.00"
A015358,"Anderson, Stephanie","O'Malley, Miles, Nylen & Gilmore, P.A.","Arc of Prince George's County, The",11/01/21-04/30/22,$700.00,$0.00,$100.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$800.00
A015356,"Anderson, Stephanie","O'Malley, Miles, Nylen & Gilmore, P.A.",Maximus,11/01/21-04/30/22,$0.00,$0.00,$100.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$100.00
A015365,"Anderson, Stephanie","O'Malley, Miles, Nylen & Gilmore, P.A.",Maryland RISE,05/01/22-10/31/22,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
A015393,"Anderson, Stephanie","O'Malley, Miles, Nylen & Gilmore, P.A.",Hopewell Fund,05/01/22-10/31/22,"$7,520.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$7,520.00"
A015370,"Anderson, Stephanie","O'Malley, Miles, Nylen & Gilmore, P.A.",City of College Park,11/01/21-04/30/22,"$6,672.00",$0.00,$100.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$6,772.00"
A015428,"Anderson, Stephanie","O'Malley, Miles, Nylen & Gilmore, P.A.","Horizon Foundation of Howard County, Inc., The",11/01/21-04/30/22,$762.50,$0.00,$100.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$862.50
A020828,"Anderson, Stephanie","O'Malley, Miles, Nylen & Gilmore, P.A.",Arcimoto,02/25/22-04/30/22,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
A015415,"Anderson, Stephanie","O'Malley, Miles, Nylen & Gilmore, P.A.",1199 SEIU,05/01/22-10/31/22,"$8,080.00",$320.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$8,400.00"
A015395,"Anderson, Stephanie","O'Malley, Miles, Nylen & Gilmore, P.A.",Energy Action Fund,05/01/22-10/31/22,$562.50,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$562.50
A013973,"Andryszak, John", Law Office of John A Andryszak,"Competitive Power Ventures, Inc.",11/01/21-04/30/22,"$30,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$30,000.00"
A013962,"Andryszak, John", Law Office of John A Andryszak,"Chubb & Sons, A Division of Federal Insurance Company",05/01/22-10/31/22,"$20,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$20,000.00"
A013964,"Andryszak, John", Law Office of John A Andryszak,American International Group,05/01/22-10/31/22,"$30,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$30,000.00"
A013979,"Andryszak, John", Law Office of John A Andryszak,"Travelers Companies, Inc and Subsidiaries",11/01/21-04/30/22,"$18,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$18,000.00"
A013961,"Andryszak, John", Law Office of John A Andryszak,"Chubb & Sons, A Division of Federal Insurance Company",11/01/21-04/30/22,"$20,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$20,000.00"
A013963,"Andryszak, John", Law Office of John A Andryszak,American International Group,11/01/21-04/30/22,"$30,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$30,000.00"
