Form ID,Lobbyist/Registrant,clean_lobbyist_registrant,Organization/Firm,clean_organization_firm,Employer,clean_employer,Registration Period
R007712,"Alston, Bryan ","Alston, Bryan ","State Circle Strategies, LLC","State Circle Strategies, LLC","OGOS Energy, LLC","OGOS Energy, LLC",02/01/21-10/31/21
R003245,"Alston, Bryan ","Alston, Bryan ","State Circle Strategies, LLC","State Circle Strategies, LLC","OGOS Energy, LLC","OGOS Energy, LLC",01/13/20-10/31/20
R011610,"Anas, George Konstintine","Anas, George Konstintine",Berkshire Hathaway Energy GT&S,Berkshire Hathaway Energy GT&S,"Berkshire Hathaway Energy GT&S, LLC","Berkshire Hathaway Energy GT&S, LLC",02/02/22-10/31/22
R015316,"Anas, George Konstintine","Anas, George Konstintine",Berkshire Hathaway Energy GT&S,Berkshire Hathaway Energy GT&S,"Berkshire Hathaway Energy GT&S, LLC","Berkshire Hathaway Energy GT&S, LLC",11/01/22-10/31/23
R006496,"Anas, George Konstintine","Anas, George Konstintine",Berkshire Hathaway Energy GT&S,Berkshire Hathaway Energy GT&S,"Berkshire Hathaway Energy GT&S, LLC","Berkshire Hathaway Energy GT&S, LLC",11/01/20-10/31/21
R003875,"Anas, George Konstintine","Anas, George Konstintine",Dominion Energy,Dominion Energy,Dominion Energy,Dominion Energy,05/12/20-10/31/20
R005342,"Andryszak, John A.","Andryszak, John A.", Law Office of John A Andryszak, Law Office of John A Andryszak,"Competitive Power Ventures, Inc.","Competitive Power Ventures, Inc.",11/01/20-10/31/21
R002848,"Andryszak, John A.","Andryszak, John A.", Law Office of John A Andryszak, Law Office of John A Andryszak,"Competitive Power Ventures, Inc.","Competitive Power Ventures, Inc.",12/09/19-10/31/20
R014065,"Andryszak, John A.","Andryszak, John A.", Law Office of John A Andryszak, Law Office of John A Andryszak,"Competitive Power Ventures, Inc.","Competitive Power Ventures, Inc.",11/01/22-10/31/23
R008243,"Andryszak, John A.","Andryszak, John A.", Law Office of John A Andryszak, Law Office of John A Andryszak,"Competitive Power Ventures, Inc.","Competitive Power Ventures, Inc.",11/01/21-10/31/22
R005348,"Appel, Erin ","Appel, Erin ","Capitol Strategies, LLC","Capitol Strategies, LLC",Covanta Energy LLC,Covanta Energy LLC,11/01/20-10/31/21
R005521,"Appel, Erin ","Appel, Erin ","Capitol Strategies, LLC","Capitol Strategies, LLC","Maryland Geothermal Association, The","Maryland Geothermal Association, The",11/01/20-10/31/21
R014263,"Appel, Erin ","Appel, Erin ","Capitol Strategies, LLC","Capitol Strategies, LLC","Constellation Energy Generation, LLC","Constellation Energy Generation, LLC",11/01/22-10/31/23
R014264,"Appel, Erin ","Appel, Erin ","Capitol Strategies, LLC","Capitol Strategies, LLC",Covanta Energy LLC,Covanta Energy LLC,11/01/22-10/31/23
R003043,"Appel, Erin ","Appel, Erin ","Capitol Strategies, LLC","Capitol Strategies, LLC","Maryland Geothermal Association, The","Maryland Geothermal Association, The",01/01/20-10/31/20
R009377,"Appel, Erin ","Appel, Erin ","Capitol Strategies, LLC","Capitol Strategies, LLC",Covanta Energy LLC,Covanta Energy LLC,11/01/21-10/31/22
R014360,"Appel, Erin ","Appel, Erin ","Capitol Strategies, LLC","Capitol Strategies, LLC","Maryland Geothermal Association, The","Maryland Geothermal Association, The",11/01/22-10/31/23
R009592,"Appel, Erin ","Appel, Erin ","Capitol Strategies, LLC","Capitol Strategies, LLC",Exelon Corporation,Exelon Corporation,11/01/21-10/31/22
R005359,"Appel, Erin ","Appel, Erin ","Capitol Strategies, LLC","Capitol Strategies, LLC",Exelon Corporation,Exelon Corporation,11/01/20-10/31/21
R009380,"Appel, Erin ","Appel, Erin ","Capitol Strategies, LLC","Capitol Strategies, LLC","Maryland Geothermal Association, The","Maryland Geothermal Association, The",11/01/21-10/31/22
R000943,"Appel, Erin ","Appel, Erin ","Capitol Strategies, LLC","Capitol Strategies, LLC",Covanta Energy LLC,Covanta Energy LLC,11/01/19-10/31/20
R000952,"Appel, Erin ","Appel, Erin ","Capitol Strategies, LLC","Capitol Strategies, LLC",Exelon Corporation,Exelon Corporation,11/01/19-10/31/20
R006434,"Ascher, Jason ","Ascher, Jason ",Mid-Atlantic Pipe Trades,Mid-Atlantic Pipe Trades,Mid-Atlantic Pipe Trades Association,Mid-Atlantic Pipe Trades Association,11/01/20-10/31/21
R011049,"Ascher, Jason ","Ascher, Jason ",Mid-Atlantic Pipe Trades,Mid-Atlantic Pipe Trades,Mid-Atlantic Pipe Trades Association,Mid-Atlantic Pipe Trades Association,12/01/21-10/31/22
R014879,"Ascher, Jason ","Ascher, Jason ",Mid-Atlantic Pipe Trades,Mid-Atlantic Pipe Trades,Mid-Atlantic Pipe Trades Association,Mid-Atlantic Pipe Trades Association,11/01/22-10/31/23
R002974,"Ascher, Jason ","Ascher, Jason ",Mid-Atlantic Pipe Trades,Mid-Atlantic Pipe Trades,Mid-Atlantic Pipe Trades Association,Mid-Atlantic Pipe Trades Association,12/20/19-10/31/20
R007991,"Baccino, Steven Michael","Baccino, Steven Michael",Chesapeake Utilities Corporation,Chesapeake Utilities Corporation,Chesapeake Utilities Corporation,Chesapeake Utilities Corporation,11/01/21-10/31/22
R014358,"Baccino, Steven Michael","Baccino, Steven Michael",Chesapeake Utilities Corporation,Chesapeake Utilities Corporation,Chesapeake Utilities Corporation,Chesapeake Utilities Corporation,11/01/22-10/31/23
R015081,"Bagwell, Ashlie ","Bagwell, Ashlie ",Harris Jones & Malone,Harris Jones & Malone,"Tesla, Inc.","Tesla, Inc.",11/01/22-10/31/23
R006135,"Bagwell, Ashlie ","Bagwell, Ashlie ",Harris Jones & Malone,Harris Jones & Malone,Baltimore Gas and Electric Company,Baltimore Gas and Electric Company,11/01/20-10/31/21
R002280,"Bagwell, Ashlie ","Bagwell, Ashlie ",Harris Jones & Malone,Harris Jones & Malone,Baltimore Gas and Electric Company,Baltimore Gas and Electric Company,11/01/19-10/31/20
R007546,"Bagwell, Ashlie ","Bagwell, Ashlie ",Harris Jones & Malone,Harris Jones & Malone,"Tesla, Inc.","Tesla, Inc.",02/24/21-10/31/21
R003560,"Bagwell, Ashlie ","Bagwell, Ashlie ",Harris Jones & Malone,Harris Jones & Malone,"Tesla, Inc.","Tesla, Inc.",02/05/20-10/31/20
R011397,"Bagwell, Ashlie ","Bagwell, Ashlie ",Harris Jones & Malone,Harris Jones & Malone,"Tesla, Inc.","Tesla, Inc.",01/11/22-06/30/22
R003212,"Ballentine, Jr., Thomas  M","Ballentine, Jr., Thomas  M","National Association of Industrial and Office Properties, Maryland","National Association of Industrial and Office Properties, Maryland","National Association of Industrial and Office Properties, Maryland","National Association of Industrial and Office Properties, Maryland",01/10/20-10/31/20
R001273,"Battisti, Sarah ","Battisti, Sarah ",NRG Energy,NRG Energy,"NRG Energy, Inc.","NRG Energy, Inc.",11/01/19-10/31/20
R004323,"Battisti, Sarah ","Battisti, Sarah ",NRG Energy,NRG Energy,"NRG Energy, Inc.","NRG Energy, Inc.",11/01/20-10/31/21
R010830,"Bellamy, Lorenzo ","Bellamy, Lorenzo ",Bellamy Genn Group LLC,Bellamy Genn Group LLC,"Williams Companies, Inc., The","Williams Companies, Inc., The",11/09/21-10/31/22
R004165,"Bellamy, Lorenzo ","Bellamy, Lorenzo ",Bellamy Genn Group LLC,Bellamy Genn Group LLC,American Forest & Paper Association,American Forest & Paper Association,01/22/21-10/31/21
R011695,"Bellamy, Lorenzo ","Bellamy, Lorenzo ",Bellamy Genn Group LLC,Bellamy Genn Group LLC,American Forest & Paper Association,American Forest & Paper Association,02/09/22-10/31/22
R014564,"Bellamy, Lorenzo ","Bellamy, Lorenzo ",Bellamy Genn Group LLC,Bellamy Genn Group LLC,American Forest & Paper Association,American Forest & Paper Association,11/01/22-10/31/23
R014576,"Bellamy, Lorenzo ","Bellamy, Lorenzo ",Bellamy Genn Group LLC,Bellamy Genn Group LLC,"Dream Management, Inc.","Dream Management, Inc.",11/01/22-10/31/23
R007397,"Bellamy, Lorenzo ","Bellamy, Lorenzo ",Bellamy Genn Group LLC,Bellamy Genn Group LLC,"Williams Companies, Inc., The","Williams Companies, Inc., The",01/29/21-10/31/21
R014630,"Bellamy, Lorenzo ","Bellamy, Lorenzo ",Bellamy Genn Group LLC,Bellamy Genn Group LLC,"Williams Companies, Inc., The","Williams Companies, Inc., The",11/01/22-10/31/23
R003691,"Bennett, Tyler ","Bennett, Tyler ","Compass Government Relations Partners, LLC","Compass Government Relations Partners, LLC","NextEra Energy Resources, LLC","NextEra Energy Resources, LLC",02/26/20-10/31/20
R003716,"Bennett, Tyler ","Bennett, Tyler ","Compass Government Relations Partners, LLC","Compass Government Relations Partners, LLC",Utility Scale Solar Energy Coalition,Utility Scale Solar Energy Coalition,02/28/20-10/31/20
R006535,"Bennett, Tyler ","Bennett, Tyler ","Compass Government Relations Partners, LLC","Compass Government Relations Partners, LLC","Coalition for Community Solar Access, Inc.","Coalition for Community Solar Access, Inc.",11/13/20-10/31/21
R014450,"Bennett, Tyler ","Bennett, Tyler ","Compass Government Relations Partners, LLC","Compass Government Relations Partners, LLC","MD/DC/VA Solar Energy Industries Association, Inc. (MDV-SEIA) dba Chesapeake Solar & Storage Association (CHESSA)","MD/DC/VA Solar Energy Industries Association, Inc. (MDV-SEIA) dba Chesapeake Solar & Storage Association (CHESSA)",11/01/22-10/31/23
R010376,"Bennett, Tyler ","Bennett, Tyler ","Compass Government Relations Partners, LLC","Compass Government Relations Partners, LLC","Coalition for Community Solar Access, Inc.","Coalition for Community Solar Access, Inc.",11/01/21-10/31/22
R001469,"Benoit, Jill ","Benoit, Jill ","Holcim (US), Inc. and Aggregate Industries Management, Inc. (AKA LafargeHolcim USA)","Holcim (US), Inc. and Aggregate Industries Management, Inc. (AKA LafargeHolcim USA)","Holcim (US), Inc. and Aggregate Industries Management, Inc. (AKA LafargeHolcim USA)","Holcim (US), Inc. and Aggregate Industries Management, Inc. (AKA LafargeHolcim USA)",11/01/19-10/31/20
R008605,"Benoit, Jill ","Benoit, Jill ","Holcim (US) Inc., Aggregate Industries Mgmt., Inc. and Firestone Bldg. Products (a/k/a LafargeHolcim USA)","Holcim (US), Inc. and Aggregate Industries Management, Inc. (AKA LafargeHolcim USA)",Holcim Participations (US) Inc.,Holcim Participations (US) Inc.,11/01/21-10/31/22
R005373,"Benoit, Jill ","Benoit, Jill ","Holcim (US), Inc. and Aggregate Industries Management, Inc. (AKA LafargeHolcim USA)","Holcim (US), Inc. and Aggregate Industries Management, Inc. (AKA LafargeHolcim USA)","Holcim (US) Inc., Aggregate Industries Mgmt., Inc. and Firestone Bldg. Products (a/k/a LafargeHolcim USA)","Holcim (US) Inc., Aggregate Industries Mgmt., Inc. and Firestone Bldg. Products (a/k/a LafargeHolcim USA)",11/01/20-10/31/21
R012354,"Benoit, Jill ","Benoit, Jill ",Holcim Participations (US) Inc.,Holcim Participations (US) Inc.,Holcim Participations (US) Inc.,Holcim Participations (US) Inc.,11/01/22-10/31/23
R011278,"Bereano, Bruce C","Bereano, Bruce C",Office of Bruce C. Bereano,Office of Bruce C. Bereano,Washington Gas,Washington Gas,01/04/22-10/31/22
R007022,"Bereano, Bruce C","Bereano, Bruce C",Office of Bruce C. Bereano,Office of Bruce C. Bereano,Washington Gas,Washington Gas,01/04/21-10/31/21
R001646,"Bereano, Bruce C","Bereano, Bruce C",Office of Bruce C. Bereano,Office of Bruce C. Bereano,Washington Gas,Washington Gas,11/01/19-10/31/20
R006413,"Bereano, Bruce C","Bereano, Bruce C",Office of Bruce C. Bereano,Office of Bruce C. Bereano,Vicinity Energy,Vicinity Energy,11/01/20-10/31/21
R005247,"Beugelmans, David W.","Beugelmans, David W.",Gordon Feinblatt LLC,Gordon Feinblatt LLC,Maryland Energy Group,Maryland Energy Group,11/01/20-10/31/21
R003711,"Beugelmans, David W.","Beugelmans, David W.",Gordon Feinblatt LLC,Gordon Feinblatt LLC,Open Road Renewables,Open Road Renewables,02/25/20-10/31/20
R007627,"Beugelmans, David W.","Beugelmans, David W.",Gordon Feinblatt LLC,Gordon Feinblatt LLC,Calpine Energy Solutions LLC,Calpine Energy Solutions LLC,03/15/21-10/31/21
R005230,"Beugelmans, David W.","Beugelmans, David W.",Gordon Feinblatt LLC,Gordon Feinblatt LLC,Open Road Renewables,Open Road Renewables,11/01/20-10/31/21
R001544,"Beugelmans, David W.","Beugelmans, David W.",Gordon Feinblatt LLC,Gordon Feinblatt LLC,Maryland Energy Group,Maryland Energy Group,11/01/19-10/31/20
R001565,"Beugelmans, David W.","Beugelmans, David W.",Gordon Feinblatt LLC,Gordon Feinblatt LLC,Calpine Energy Solutions LLC,Calpine Energy Solutions LLC,11/01/19-10/31/20
R007180,"Binetti, Rick ","Binetti, Rick ","Laborers' International Union of North America, Baltimore/Washington Construction & Public Employees Laborers' District Council ","Laborers' International Union of North America, Baltimore/Washington Construction & Public Employees Laborers' District Council ","Laborers' International Union of North America, Baltimore/Washington Construction & Public Employees Laborers' District Council","Laborers' International Union of North America, Baltimore/Washington Construction & Public Employees Laborers' District Council",01/14/21-04/15/21
R013341,"Black, Allyson ","Black, Allyson ",Baltimore Gas and Electric Company,Baltimore Gas and Electric Company,Baltimore Gas and Electric Company,Baltimore Gas and Electric Company,11/01/22-10/31/23
R008616,"Black, Allyson ","Black, Allyson ",Baltimore Gas and Electric Company,Baltimore Gas and Electric Company,Baltimore Gas and Electric Company,Baltimore Gas and Electric Company,11/01/21-10/31/22
R002710,"Black, Allyson ","Black, Allyson ",Baltimore Gas and Electric Company,Baltimore Gas and Electric Company,Baltimore Gas and Electric Company,Baltimore Gas and Electric Company,11/17/19-10/31/20
R005351,"Black, Allyson ","Black, Allyson ",Baltimore Gas and Electric Company,Baltimore Gas and Electric Company,Baltimore Gas and Electric Company,Baltimore Gas and Electric Company,11/01/20-10/31/21
R009300,"Blaylock, Frazier ","Blaylock, Frazier ",Covanta Energy LLC,Covanta Energy LLC,Covanta Energy LLC,Covanta Energy LLC,11/01/21-10/31/22
R013553,"Blaylock, Frazier ","Blaylock, Frazier ",Covanta Energy LLC,Covanta Energy LLC,Covanta Energy LLC,Covanta Energy LLC,11/01/22-10/31/23
R001487,"Blaylock, Frazier ","Blaylock, Frazier ",N/A,N/A,Covanta Energy LLC,Covanta Energy LLC,11/01/19-10/31/20
R005861,"Blaylock, Frazier ","Blaylock, Frazier ",N/A,N/A,Covanta Energy LLC,Covanta Energy LLC,11/01/20-10/31/21
R009782,"Bohle, Matt ","Bohle, Matt ",Rifkin Weiner Livingston LLC,Rifkin Weiner Livingston LLC,"Pepco Holdings, Inc.","Pepco Holdings, Inc.",11/01/21-10/31/22
