Form ID,Lobbyist/Registrant,Organization/Firm,Employer,Registration Period
R007712,"Alston, Bryan ","State Circle Strategies, LLC","OGOS Energy, LLC",02/01/21-10/31/21
R003245,"Alston, Bryan ","State Circle Strategies, LLC","OGOS Energy, LLC",01/13/20-10/31/20
R011610,"Anas, George Konstintine",Berkshire Hathaway Energy GT&S,"Berkshire Hathaway Energy GT&S, LLC",02/02/22-10/31/22
R015316,"Anas, George Konstintine",Berkshire Hathaway Energy GT&S,"Berkshire Hathaway Energy GT&S, LLC",11/01/22-10/31/23
R006496,"Anas, George Konstintine",Berkshire Hathaway Energy GT&S,"Berkshire Hathaway Energy GT&S, LLC",11/01/20-10/31/21
R003875,"Anas, George Konstintine",Dominion Energy,Dominion Energy,05/12/20-10/31/20
R005342,"Andryszak, John A.", Law Office of John A Andryszak,"Competitive Power Ventures, Inc.",11/01/20-10/31/21
R002848,"Andryszak, John A.", Law Office of John A Andryszak,"Competitive Power Ventures, Inc.",12/09/19-10/31/20
R014065,"Andryszak, John A.", Law Office of John A Andryszak,"Competitive Power Ventures, Inc.",11/01/22-10/31/23
R008243,"Andryszak, John A.", Law Office of John A Andryszak,"Competitive Power Ventures, Inc.",11/01/21-10/31/22
R005348,"Appel, Erin ","Capitol Strategies, LLC",Covanta Energy LLC,11/01/20-10/31/21
R005521,"Appel, Erin ","Capitol Strategies, LLC","Maryland Geothermal Association, The",11/01/20-10/31/21
R014263,"Appel, Erin ","Capitol Strategies, LLC","Constellation Energy Generation, LLC",11/01/22-10/31/23
R014264,"Appel, Erin ","Capitol Strategies, LLC",Covanta Energy LLC,11/01/22-10/31/23
R003043,"Appel, Erin ","Capitol Strategies, LLC","Maryland Geothermal Association, The",01/01/20-10/31/20
R009377,"Appel, Erin ","Capitol Strategies, LLC",Covanta Energy LLC,11/01/21-10/31/22
R014360,"Appel, Erin ","Capitol Strategies, LLC","Maryland Geothermal Association, The",11/01/22-10/31/23
R009592,"Appel, Erin ","Capitol Strategies, LLC",Exelon Corporation,11/01/21-10/31/22
R005359,"Appel, Erin ","Capitol Strategies, LLC",Exelon Corporation,11/01/20-10/31/21
R009380,"Appel, Erin ","Capitol Strategies, LLC","Maryland Geothermal Association, The",11/01/21-10/31/22
R000943,"Appel, Erin ","Capitol Strategies, LLC",Covanta Energy LLC,11/01/19-10/31/20
R000952,"Appel, Erin ","Capitol Strategies, LLC",Exelon Corporation,11/01/19-10/31/20
R006434,"Ascher, Jason ",Mid-Atlantic Pipe Trades,Mid-Atlantic Pipe Trades Association,11/01/20-10/31/21
R011049,"Ascher, Jason ",Mid-Atlantic Pipe Trades,Mid-Atlantic Pipe Trades Association,12/01/21-10/31/22
R014879,"Ascher, Jason ",Mid-Atlantic Pipe Trades,Mid-Atlantic Pipe Trades Association,11/01/22-10/31/23
R002974,"Ascher, Jason ",Mid-Atlantic Pipe Trades,Mid-Atlantic Pipe Trades Association,12/20/19-10/31/20
R007991,"Baccino, Steven Michael",Chesapeake Utilities Corporation,Chesapeake Utilities Corporation,11/01/21-10/31/22
R014358,"Baccino, Steven Michael",Chesapeake Utilities Corporation,Chesapeake Utilities Corporation,11/01/22-10/31/23
R015081,"Bagwell, Ashlie ",Harris Jones & Malone,"Tesla, Inc.",11/01/22-10/31/23
R006135,"Bagwell, Ashlie ",Harris Jones & Malone,Baltimore Gas and Electric Company,11/01/20-10/31/21
R002280,"Bagwell, Ashlie ",Harris Jones & Malone,Baltimore Gas and Electric Company,11/01/19-10/31/20
R007546,"Bagwell, Ashlie ",Harris Jones & Malone,"Tesla, Inc.",02/24/21-10/31/21
R003560,"Bagwell, Ashlie ",Harris Jones & Malone,"Tesla, Inc.",02/05/20-10/31/20
