Form ID,Lobbyist/Registrant,Organization/Firm,Employer,Registration Period
LR143275,"Abbruzzese, Rick ",KOFA Public Affairs LLC,Pharmaceutical Research & Manufacturers of America,02/14/18-10/31/18
LR143224,"Abbruzzese, Rick ",KOFA Public Affairs LLC,Share our Strength,02/13/18-10/31/18
LR143222,"Abbruzzese, Rick ",KOFA Public Affairs LLC,Transource,02/13/18-10/31/18
LR143221,"Abbruzzese, Rick ",KOFA Public Affairs LLC,State Center LLC,02/13/18-04/30/18
LR141248,"Acosta, Katharina ",MD Catholic Conference,"Maryland Catholic Conference, LLC.",11/01/17-10/10/18
LR141666,"Adams, Kelly ",Everytown for Gun Safety Action Fund,Everytown for Gun Safety Action Fund,11/01/17-10/31/18
LR140204,"Adams, Jr., Earl S.",Saul Ewing Arnstein & Lehr LLP,Nexus Health Inc.,11/01/17-10/31/18
LR143683,"Adams, Jr., Earl S.",Saul Ewing Arnstein & Lehr LLP,Saul Ewing Arnstein & Lehr LLP,08/15/18-08/15/18
LR140203,"Adams, Jr., Earl S.",Saul Ewing Arnstein & Lehr LLP,HP Inc.,11/01/17-10/31/18
LR142947,"Ahmad, Yousuf ",Northern Anne Arundel County Chamber of Commerce,Northern Anne Arundel County Chamber of Commerce,01/18/18-10/31/18
LR142353,"Albert, David G.","The Waverly Group, Inc.",NTT Data Services,11/28/17-10/31/18
LR142324,"Albert, David G.","The Waverly Group, Inc.",Carahsoft Technology Corp,11/28/17-10/31/18
LR142356,"Albert, David G.","The Waverly Group, Inc.",Kronos,11/28/17-10/31/18
LR142351,"Albert, David G.","The Waverly Group, Inc.","GANTECH, Inc.",11/28/17-10/31/18
LR142352,"Albert, David G.","The Waverly Group, Inc.",Maximus,11/28/17-10/31/18
LR142354,"Albert, David G.","The Waverly Group, Inc.",Splunk,11/28/17-07/31/18
LR142355,"Albert, David G.","The Waverly Group, Inc.",Beacon Health Options,11/28/17-10/31/18
LR139691,"Albert, David G.","The Waverly Group, Inc.",Westmount Corporation,11/01/17-05/31/18
LR140693,"Alexander, Gary R.","Alexander & Cleaver, P.A.",National Cryptologic Museum Foundation Cyber Center for Education and Innovation - Home of the National Cryptologic Museum,03/01/18-10/31/18
LR143712,"Alexander, Gary R.","Alexander & Cleaver, P.A.","Children's Guild, Inc., The",09/12/18-10/31/18
LR143716,"Alexander, Gary R.","Alexander & Cleaver, P.A.",Printing & Graphics Association MidAtlantic,09/12/18-10/31/18
LR141027,"Alexander, Gary R.","Alexander & Cleaver, P.A.","PSEG Fossil, LLC",11/09/17-10/31/18
LR139802,"Alexander, Gary R.","Alexander & Cleaver, P.A.",Association of Maryland Pilots,11/01/17-10/31/18
LR143711,"Alexander, Gary R.","Alexander & Cleaver, P.A.",Diamond Game Enterprises,09/12/18-10/31/18
LR143713,"Alexander, Gary R.","Alexander & Cleaver, P.A.",Distilled Spirits Council of the U.S.,09/12/18-10/31/18
LR143719,"Alexander, Gary R.","Alexander & Cleaver, P.A.",Maryland Veterinary Medical Association,09/12/18-10/31/18
LR143781,"Alexander, Gary R.","Alexander & Cleaver, P.A.",Charles P. Johnson & Associates,09/13/18-10/31/18
LR141147,"Alexander, Gary R.","Alexander & Cleaver, P.A.","Sherwin-Williams Company, The",11/01/17-10/31/18
LR141243,"Alexander, Katie Seton",Maryland Catholic Conference`,"Maryland Catholic Conference, LLC.",11/01/17-10/10/18
LR139866,"Alexander, Gary R.","Alexander & Cleaver, P.A.","ConAgra Grocery Products Company, LLC",11/01/17-10/31/18
LR139916,"Alexander, Gary R.","Alexander & Cleaver, P.A.",Doctor's Community Hospital,11/09/17-10/31/18
LR143714,"Alexander, Gary R.","Alexander & Cleaver, P.A.",Motorola Solutions,09/12/18-10/31/18
LR140825,"Alexander, Gary R.","Alexander & Cleaver, P.A.","NL Industries, Inc ",11/01/17-10/31/18
LR139818,"Alexander, Gary R.","Alexander & Cleaver, P.A.",Atlantic Richfield Company (ARCO),11/01/17-10/31/18
LR143717,"Alexander, Gary R.","Alexander & Cleaver, P.A.","Telaforce, LLC",09/12/18-10/31/18
LR143710,"Alexander, Gary R.","Alexander & Cleaver, P.A.","Kennedy Krieger Institute, The",09/12/18-10/31/18
LR140829,"Alexander, Gary R.","Alexander & Cleaver, P.A.",Norfolk Southern Corporation,11/01/17-10/31/18
LR142313,"Alexander & Cleaver, P.A.","Alexander & Cleaver, P.A. ","Alexander & Cleaver, P.A.",11/28/17-10/31/18
LR141788,"Alford, Shannon ",National Rifle Association of America,National Rifle Association of America,11/02/17-03/06/18
LR141272,"Allen, John ",Pepco Holdings,"Pepco Holdings, Inc.",11/01/17-10/31/18
LR141604,"Allen, Misty  ",Baltimore Gas and Electric (BGE),Baltimore Gas and Electric Company,11/01/17-10/31/18
LR143279,"Alston, Bryan ","State Circle Strategies, LLC",Sugarloaf Enterprises,02/23/18-10/31/18
