zip5,democrats,republicans,total_contribs,NAME,variable,estimate,moe
75219,6502.7,239421,245923.7,ZCTA5 75219,medincome,72559,4685
77019,9374.24,80924.75,90298.99,ZCTA5 77019,medincome,116207,5970
79762,700,71572,72272,ZCTA5 79762,medincome,66584,4633
78746,15222.6,47293,62515.6,ZCTA5 78746,medincome,151801,12017
75209,17192,38915.5,56107.5,ZCTA5 75209,medincome,95112,9358
78209,24967,25993,50960,ZCTA5 78209,medincome,73448,5377
75225,3580,46163.12,49743.12,ZCTA5 75225,medincome,161296,30644
75205,22840,25855,48695,ZCTA5 75205,medincome,156636,10475
75229,13919,34577.12,48496.12,ZCTA5 75229,medincome,100144,3697
77027,29010,12554.25,41564.25,ZCTA5 77027,medincome,98463,7879
78613,9572,31111,40683,ZCTA5 78613,medincome,104308,1971
77005,32531.25,6154,38685.25,ZCTA5 77005,medincome,192380,12166
75230,24184.5,13592.02,37776.520000000004,ZCTA5 75230,medincome,91596,8104
78704,25783.34,11050,36833.34,ZCTA5 78704,medincome,75233,3125
77024,10178.75,26588,36766.75,ZCTA5 77024,medincome,123274,7168
75214,30961.3,5325,36286.3,ZCTA5 75214,medincome,89719,6148
78703,29066,6000,35066,ZCTA5 78703,medincome,108548,13358
78731,27776,4035.76,31811.760000000002,ZCTA5 78731,medincome,94851,9262
75019,20500,7543,28043,ZCTA5 75019,medincome,118740,5836
76092,21425,5833.54,27258.54,ZCTA5 76092,medincome,240507,13803
78705,26270,20,26290,ZCTA5 78705,medincome,20326,3741
75206,9030,16668,25698,ZCTA5 75206,medincome,71135,3343
78701,13015,12642.75,25657.75,ZCTA5 78701,medincome,122182,15254
77007,17039.66,6343,23382.66,ZCTA5 77007,medincome,125653,6369
77006,22232,725,22957,ZCTA5 77006,medincome,85956,7021
90210,12785.61,10000,22785.61,NA,NA,NA,NA
90067,21309.32,600,21909.32,NA,NA,NA,NA
77002,8499,13319,21818,ZCTA5 77002,medincome,71369,6794
78212,17903.85,3315,21218.85,ZCTA5 78212,medincome,47623,2862
22101,20000,1200,21200,NA,NA,NA,NA
94131,1433.33,19537.5,20970.83,NA,NA,NA,NA
92677,20000,250,20250,NA,NA,NA,NA
77382,1225,18402.22,19627.22,ZCTA5 77382,medincome,138281,15732
78231,1579.16,17377,18956.16,ZCTA5 78231,medincome,92174,8550
77096,4735,13667,18402,ZCTA5 77096,medincome,65608,7898
77057,4600,13295.85,17895.85,ZCTA5 77057,medincome,62644,4782
77025,16388.5,1315,17703.5,ZCTA5 77025,medincome,76772,4016
77498,10252,6683,16935,ZCTA5 77498,medincome,80748,5543
79705,1900,14454.95,16354.95,ZCTA5 79705,medincome,85259,8567
77056,2725,13618.4,16343.4,ZCTA5 77056,medincome,108359,8562
33480,4206.3,10611.77,14818.07,NA,NA,NA,NA
76712,300,14501.05,14801.05,ZCTA5 76712,medincome,71929,4802
75701,4885,9422.12,14307.12,ZCTA5 75701,medincome,47543,2822
90049,4299.9,10000,14299.9,NA,NA,NA,NA
77450,1359.7,12913,14272.7,ZCTA5 77450,medincome,96526,5343
77098,8286,5946,14232,ZCTA5 77098,medincome,91138,7068
78757,10042.65,3921.22,13963.869999999999,ZCTA5 78757,medincome,76716,6076
75093,5927.5,7508.25,13435.75,ZCTA5 75093,medincome,112930,5226
78249,12125,947,13072,ZCTA5 78249,medincome,66539,2931
77401,7450,5614,13064,ZCTA5 77401,medincome,193950,22477
